order_id,company,courier_id,created_at,pickup_time,estimated_arrival,delivery_time,distance_km,est_duration_min,actual_duration_min,delay_minutes,status,root_cause,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,zone,items_count,courier_rating,courier_experience_years,vehicle_type,weather,traffic_level,qc_flag,qc_issue_type,attempt_count
FAS_O000001,FastMove,FAS_C0076,2025-11-24 23:42:22.134293,2025-11-25 00:00:22.134293,2025-11-25 00:47:22.134293,2025-11-25 01:02:22.134293,5.24,47,62,15,Delivered,Weather,35.701279,51.428898,35.766782,51.539809,North,2,4.7,2.2,Van,Clear,Low,False,,1
FAS_O000002,FastMove,FAS_C0253,2025-11-23 21:45:30.134293,2025-11-23 22:05:30.134293,2025-11-23 22:30:30.134293,2025-11-23 22:39:30.134293,1.62,25,34,9,Delivered,Traffic,35.735929,51.434019,35.777075,51.427094,South,1,5.0,0.2,Motorbike,Clear,Medium,False,,2
FAS_O000003,FastMove,FAS_C0263,2025-09-17 22:09:03.134293,2025-09-17 22:19:03.134293,2025-09-17 22:48:03.134293,2025-09-17 22:58:03.134293,3.28,29,39,10,Delivered,Customer Not Available,35.766682,51.438887,35.651555,51.42228,South,3,4.1,1.0,Bike,Clear,High,False,,1
FAS_O000004,FastMove,FAS_C0297,2025-10-05 19:05:24.134293,2025-10-05 19:21:24.134293,2025-10-05 19:54:24.134293,2025-10-05 19:56:24.134293,2.72,33,35,2,Delivered,Vehicle Issue,35.731703,51.260151,35.650033,51.358918,South,1,4.5,4.3,Motorbike,Clear,Low,False,,1
FAS_O000005,FastMove,FAS_C0045,2025-09-14 05:33:30.134293,2025-09-14 05:52:30.134293,2025-09-14 06:05:30.134293,2025-09-14 06:10:30.134293,1.86,13,18,5,Delivered,Traffic,35.819882,51.400103,35.575602,51.422456,Outskirts,1,4.9,0.2,Car,Rain,Low,False,,1
FAS_O000006,FastMove,FAS_C0059,2025-10-04 08:16:30.134293,2025-10-04 08:37:30.134293,2025-10-04 08:51:30.134293,2025-10-04 08:59:30.134293,0.75,14,22,8,Delivered,Traffic,35.743708,51.327033,35.694227,51.472997,Center,2,4.9,0.4,Bike,Clear,Medium,True,Late,1
FAS_O000007,FastMove,FAS_C0026,2025-09-08 00:09:36.134293,2025-09-08 00:27:36.134293,2025-09-08 00:49:36.134293,2025-09-08 00:59:36.134293,3.17,22,32,10,Delivered,Wrong Address,35.838521,51.360347,35.788001,51.368915,Center,1,5.0,1.8,Bike,Rain,Low,False,,1
FAS_O000008,FastMove,FAS_C0021,2025-11-04 12:28:18.134293,2025-11-04 12:44:18.134293,2025-11-04 13:17:18.134293,2025-11-04 13:21:18.134293,3.41,33,37,4,Delivered,Vehicle Issue,35.847335,51.295385,35.708828,51.560619,West,1,5.0,3.7,Car,Rain,Low,False,,1
FAS_O000009,FastMove,FAS_C0171,2025-10-17 14:56:00.134293,2025-10-17 15:08:00.134293,2025-10-17 15:46:00.134293,2025-10-17 15:46:00.134293,5.17,38,38,0,Delivered,None,35.642446,51.476,35.677841,51.534113,Outskirts,2,4.3,1.0,Motorbike,Clear,Medium,False,,2
FAS_O000010,FastMove,FAS_C0028,2025-11-19 04:42:49.134293,2025-11-19 04:51:49.134293,2025-11-19 05:13:49.134293,2025-11-19 05:13:49.134293,3.49,22,22,0,Delivered,None,35.646234,51.372076,35.668147,51.284312,Center,1,4.1,1.3,Motorbike,Clear,Low,False,,1
FAS_O000011,FastMove,FAS_C0017,2025-11-27 07:55:37.134293,2025-11-27 08:15:37.134293,2025-11-27 08:35:37.134293,2025-11-27 08:35:37.134293,1.73,20,20,0,Delivered,None,35.581034,51.403446,35.669841,51.289846,North,1,5.0,0.7,Car,Clear,Medium,True,Late,1
FAS_O000012,FastMove,FAS_C0127,2025-11-12 14:25:52.134293,2025-11-12 14:50:52.134293,2025-11-12 15:18:52.134293,2025-11-12 15:35:52.134293,2.82,28,45,17,Delivered,Traffic,35.626166,51.412837,35.765078,51.412931,South,1,5.0,0.1,Motorbike,Windy,Low,False,,1
FAS_O000013,FastMove,FAS_C0010,2025-11-22 21:28:40.134293,2025-11-22 21:39:40.134293,2025-11-22 22:12:40.134293,2025-11-22 22:16:40.134293,3.13,33,37,4,Delivered,Weather,35.54749,51.296601,35.689421,51.311193,Outskirts,1,4.7,0.1,Car,Clear,Medium,False,,1
FAS_O000014,FastMove,FAS_C0222,2025-10-21 15:58:32.134293,2025-10-21 16:17:32.134293,2025-10-21 17:06:32.134293,2025-10-21 17:13:32.134293,8.35,49,56,7,Delivered,Traffic,35.614058,51.3566,35.782348,51.332463,East,1,4.3,3.4,Van,Clear,Low,False,,1
FAS_O000015,FastMove,FAS_C0103,2025-09-14 05:00:17.134293,2025-09-14 05:09:17.134293,2025-09-14 05:33:17.134293,2025-09-14 05:33:17.134293,2.94,24,24,0,Delivered,None,35.686643,51.281975,35.777979,51.398766,South,1,4.3,0.7,Bike,Clear,Low,False,,1
FAS_O000016,FastMove,FAS_C0195,2025-10-29 06:48:57.134293,2025-10-29 07:03:57.134293,2025-10-29 07:14:57.134293,2025-10-29 07:28:57.134293,0.65,11,25,14,Delivered,Traffic,35.626487,51.502631,35.582874,51.405855,West,1,4.8,0.4,Car,Rain,Low,False,,1
FAS_O000017,FastMove,FAS_C0098,2025-12-01 23:10:57.134293,2025-12-01 23:35:57.134293,2025-12-02 00:28:57.134293,2025-12-02 00:32:57.134293,8.26,53,57,4,Delivered,Wrong Address,35.815598,51.299097,35.767017,51.243838,North,4,4.7,4.7,Bike,Clear,Low,False,,1
FAS_O000018,FastMove,FAS_C0061,2025-10-04 23:37:29.134293,2025-10-04 23:54:29.134293,2025-10-05 01:01:29.134293,2025-10-05 01:20:29.134293,9.03,67,86,19,Delivered,Customer Not Available,35.788016,51.205229,35.625236,51.385261,East,2,4.3,0.6,Motorbike,Clear,Low,False,,1
FAS_O000019,FastMove,FAS_C0199,2025-09-07 11:02:46.134293,2025-09-07 11:12:46.134293,2025-09-07 11:40:46.134293,2025-09-07 11:50:46.134293,4.32,28,38,10,Delivered,Customer Not Available,35.679005,51.303748,35.721362,51.53761,North,1,3.6,2.0,Motorbike,Clear,Low,False,,1
FAS_O000020,FastMove,FAS_C0075,2025-09-19 04:52:38.134293,2025-09-19 05:16:38.134293,2025-09-19 05:48:38.134293,2025-09-19 06:04:38.134293,3.62,32,48,16,Delivered,Traffic,35.788034,51.381525,35.814916,51.399173,North,1,4.9,1.0,Motorbike,Clear,Severe,False,,1
FAS_O000021,FastMove,FAS_C0267,2025-11-03 20:30:33.134293,2025-11-03 20:50:33.134293,2025-11-03 21:32:33.134293,2025-11-03 21:32:33.134293,5.17,42,42,0,Delivered,None,35.677822,51.345838,35.743227,51.429538,East,1,5.0,1.7,Motorbike,Clear,Medium,False,,1
FAS_O000022,FastMove,FAS_C0101,2025-11-30 03:31:15.134293,2025-11-30 03:48:15.134293,2025-11-30 04:27:15.134293,2025-11-30 04:43:15.134293,5.09,39,55,16,Delivered,Wrong Address,35.736644,51.377267,35.697278,51.383971,West,1,4.3,0.3,Car,Rain,Medium,False,,1
FAS_O000023,FastMove,FAS_C0069,2025-10-20 04:15:03.134293,2025-10-20 04:21:03.134293,2025-10-20 04:47:03.134293,2025-10-20 05:08:03.134293,3.27,26,47,21,Delivered,Traffic,35.718889,51.411734,35.641815,51.386234,Outskirts,1,5.0,0.1,Car,Clear,High,False,,1
FAS_O000024,FastMove,FAS_C0072,2025-09-14 03:46:18.134293,2025-09-14 04:09:18.134293,2025-09-14 04:25:18.134293,2025-09-14 05:23:18.134293,1.71,16,74,58,Delivered,Traffic,35.693343,51.412764,35.856415,51.561721,West,1,4.6,3.0,Van,Clear,Low,False,,2
FAS_O000025,FastMove,FAS_C0074,2025-09-30 15:37:03.134293,2025-09-30 15:50:03.134293,2025-09-30 16:44:03.134293,2025-09-30 16:56:03.134293,7.48,54,66,12,Delivered,Traffic,35.847915,51.473935,35.600165,51.358706,North,2,4.8,1.1,Van,Clear,Medium,False,,1
FAS_O000026,FastMove,FAS_C0230,2025-10-20 07:13:11.134293,2025-10-20 07:37:11.134293,2025-10-20 08:12:11.134293,2025-10-20 08:13:11.134293,3.48,35,36,1,Delivered,Wrong Address,35.661358,51.389917,35.732021,51.30559,North,3,4.1,2.4,Van,Clear,Medium,False,,1
FAS_O000027,FastMove,FAS_C0263,2025-09-17 23:08:09.134293,2025-09-17 23:17:09.134293,2025-09-17 23:41:09.134293,2025-09-17 23:47:09.134293,1.86,24,30,6,Delivered,Customer Not Available,35.729733,51.507134,35.771676,51.426005,East,1,4.0,4.0,Bike,Clear,High,False,,1
FAS_O000028,FastMove,FAS_C0112,2025-10-17 01:36:53.134293,2025-10-17 01:57:53.134293,2025-10-17 03:25:53.134293,2025-10-17 03:50:53.134293,13.2,88,113,25,Delivered,Traffic,35.808571,51.410853,35.627254,51.40003,Outskirts,4,5.0,2.7,Bike,Clear,High,False,,1
FAS_O000029,FastMove,FAS_C0131,2025-11-26 23:27:42.134293,2025-11-26 23:34:42.134293,2025-11-27 00:34:42.134293,2025-11-27 00:34:42.134293,8.83,60,60,0,Delivered,None,35.668157,51.398407,35.664591,51.27113,North,1,3.9,1.4,Van,Clear,Low,False,,2
FAS_O000030,FastMove,FAS_C0190,2025-09-16 04:35:07.134293,2025-09-16 04:57:07.134293,2025-09-16 05:12:07.134293,2025-09-16 05:40:07.134293,1.77,15,43,28,Delivered,Traffic,35.785635,51.485576,35.605679,51.401261,Outskirts,2,4.5,0.1,Bike,Rain,High,False,,1
FAS_O000031,FastMove,FAS_C0200,2025-09-11 20:10:57.134293,2025-09-11 20:35:57.134293,2025-09-11 21:18:57.134293,2025-09-11 21:18:57.134293,5.66,43,43,0,Delivered,None,35.775206,51.292606,35.72202,51.309457,Center,1,3.8,0.1,Van,Clear,Low,False,,1
FAS_O000032,FastMove,FAS_C0137,2025-11-22 16:59:28.134293,2025-11-22 17:17:28.134293,2025-11-22 18:17:28.134293,2025-11-22 18:17:28.134293,6.39,60,60,0,Delivered,None,35.649785,51.512234,35.759286,51.475179,West,3,4.6,1.4,Motorbike,Clear,Low,False,,1
FAS_O000033,FastMove,FAS_C0192,2025-11-25 20:51:42.134293,2025-11-25 21:01:42.134293,2025-11-25 21:12:42.134293,2025-11-25 21:18:42.134293,1.43,11,17,6,Delivered,Operational,35.705122,51.359774,35.655473,51.415686,East,1,4.4,1.4,Van,Clear,Low,False,,1
FAS_O000034,FastMove,FAS_C0124,2025-09-07 17:51:53.134293,2025-09-07 18:15:53.134293,2025-09-07 18:30:53.134293,2025-09-07 18:30:53.134293,1.5,15,15,0,Delivered,None,35.708244,51.395683,35.553341,51.37273,North,1,4.9,1.6,Motorbike,Clear,Low,False,,1
FAS_O000035,FastMove,FAS_C0201,2025-10-09 07:59:06.134293,2025-10-09 08:11:06.134293,2025-10-09 08:50:06.134293,2025-10-09 08:50:06.134293,5.19,39,39,0,Delivered,None,35.779734,51.49269,35.874444,51.258071,West,2,5.0,0.9,Motorbike,Clear,Medium,False,,1
FAS_O000036,FastMove,FAS_C0056,2025-11-04 08:03:01.134293,2025-11-04 08:08:01.134293,2025-11-04 08:41:01.134293,2025-11-04 08:45:01.134293,3.11,33,37,4,Delivered,Wrong Address,35.72647,51.258217,35.729808,51.454859,Outskirts,1,4.4,1.3,Van,Clear,Low,False,,1
FAS_O000037,FastMove,FAS_C0040,2025-09-22 20:58:17.134293,2025-09-22 21:16:17.134293,2025-09-22 21:42:17.134293,2025-09-22 22:23:17.134293,2.45,26,67,41,Failed,Traffic,35.554592,51.398278,35.77926,51.433247,Center,4,3.8,3.7,Car,Windy,High,False,,1
FAS_O000038,FastMove,FAS_C0022,2025-10-22 18:16:39.134293,2025-10-22 18:39:39.134293,2025-10-22 19:10:39.134293,2025-10-22 19:10:39.134293,2.99,31,31,0,Delivered,None,35.799617,51.211257,35.617122,51.554183,Center,1,4.9,1.0,Van,Clear,Low,False,,1
FAS_O000039,FastMove,FAS_C0031,2025-10-28 06:26:51.134293,2025-10-28 06:36:51.134293,2025-10-28 07:36:51.134293,2025-10-28 08:18:51.134293,7.14,60,102,42,Delivered,Traffic,35.625755,51.32842,35.660359,51.255765,North,1,4.9,6.8,Van,Rain,High,False,,1
FAS_O000040,FastMove,FAS_C0185,2025-09-17 09:03:18.134293,2025-09-17 09:24:18.134293,2025-09-17 10:07:18.134293,2025-09-17 10:07:18.134293,5.48,43,43,0,Delivered,None,35.677579,51.433374,35.613786,51.471279,Center,1,5.0,2.2,Bike,Clear,Medium,False,,1
FAS_O000041,FastMove,FAS_C0047,2025-10-25 18:06:01.134293,2025-10-25 18:29:01.134293,2025-10-25 19:26:01.134293,2025-10-25 19:48:01.134293,7.32,57,79,22,Delivered,Wrong Address,35.659716,51.246818,35.673286,51.286336,East,1,4.5,1.3,Van,Rain,Medium,False,,1
FAS_O000042,FastMove,FAS_C0088,2025-09-09 23:30:35.134293,2025-09-09 23:36:35.134293,2025-09-10 00:15:35.134293,2025-09-10 00:18:35.134293,4.87,39,42,3,Delivered,Weather,35.670692,51.426105,35.712305,51.51662,East,1,4.8,0.6,Motorbike,Clear,Low,False,,1
FAS_O000043,FastMove,FAS_C0281,2025-09-26 09:58:25.134293,2025-09-26 10:20:25.134293,2025-09-26 10:50:25.134293,2025-09-26 10:50:25.134293,3.41,30,30,0,Delivered,None,35.785559,51.433984,35.889771,51.379198,South,1,4.7,0.6,Bike,Clear,Medium,False,,1
FAS_O000044,FastMove,FAS_C0202,2025-09-24 02:08:34.134293,2025-09-24 02:31:34.134293,2025-09-24 02:58:34.134293,2025-09-24 03:01:34.134293,2.37,27,30,3,Delivered,Customer Not Available,35.719633,51.349703,35.721523,51.413801,Outskirts,1,4.3,2.9,Bike,Clear,Low,False,,1
FAS_O000045,FastMove,FAS_C0232,2025-09-23 15:18:08.134293,2025-09-23 15:23:08.134293,2025-09-23 15:57:08.134293,2025-09-23 16:05:08.134293,3.39,34,42,8,Delivered,Operational,35.77682,51.418146,35.782437,51.423316,South,2,5.0,0.1,Bike,Clear,Medium,False,,1
FAS_O000046,FastMove,FAS_C0148,2025-09-22 05:47:08.134293,2025-09-22 06:11:08.134293,2025-09-22 06:31:08.134293,2025-09-22 06:31:08.134293,1.78,20,20,0,Cancelled,None,35.796103,51.437076,35.631128,51.463373,East,1,3.7,0.7,Car,Clear,Medium,False,,1
FAS_O000047,FastMove,FAS_C0188,2025-11-09 18:31:32.134293,2025-11-09 18:45:32.134293,2025-11-09 19:28:32.134293,2025-11-09 20:20:32.134293,5.63,43,95,52,Delivered,Traffic,35.669242,51.488628,35.739122,51.230577,North,2,4.8,4.8,Motorbike,Rain,High,False,,2
